net | stat | lat | lon 
BW|BE1|47.910835|11.221278
BW|KW1|48.121941|12.597187
BW|MANZ|49.986198|12.108300
BW|RJOB|47.737167|12.795714
BW|ROTZ|49.766899|12.207000
BW|SCE|47.038399|11.710400
CH|ACB|47.587720|8.254740
CH|AIGLE|46.341760|6.952950
CH|BALST|47.335780|7.694980
CH|BERGE|47.871610|8.177980
CH|BERNI|46.413636|10.023095
CH|BNALP|46.870340|8.424900
CH|BOURR|47.393640|7.230100
CH|BRANT|46.938010|6.472980
CH|DAVOX|46.780500|9.879520
CH|DIX|46.081053|7.408391
CH|EMBD|46.216520|7.832230
CH|FIESA|46.435210|8.110510
CH|FUORN|46.620334|10.263520
CH|FUSIO|46.454810|8.662900
CH|GIMEL|46.533640|6.265450
CH|GRIMS|46.578146|8.318864
CH|HASLI|46.756810|8.151170
CH|LAUCH|46.415540|7.771660
CH|LIENZ|47.294437|9.491773
CH|LLS|46.846760|9.008250
CH|MMK|46.050700|7.964090
CH|MUGIO|45.921840|9.041710
CH|MUO|46.967650|8.637060
CH|NALPS|46.595121|8.748280
CH|PANIX|46.825743|9.111708
CH|PLONS|47.049210|9.380760
CH|SENIN|46.363350|7.299380
CH|SIMPL|46.239620|8.019580
CH|SLE|47.764500|8.492360
CH|SULZ|47.527530|8.111870
CH|TORNY|46.773630|6.958740
CH|VANNI|46.210060|7.596780
CH|VDL|46.483180|9.449560
CH|WILA|47.414650|8.907530
CH|WIMIS|46.664880|7.624180
CH|ZUR|47.369210|8.580880
CR|ZAG|45.829442|15.994170
CZ|CKRC|48.819900|14.309500
CZ|JAVC|48.859100|17.670700
CZ|KHC|49.130900|13.578200
CZ|KRUC|49.061900|16.395200
CZ|MORC|49.776600|17.542800
CZ|PRU|49.988300|14.541700
CZ|TREC|49.294800|15.487100
CZ|VRAC|49.308400|16.593300
FR|AJAC|41.927900|8.763000
FR|ARBF|43.491700|5.332500
FR|CALF|43.752800|6.921800
FR|CHMF|47.248400|6.651700
FR|ESCA|43.831000|7.374400
FR|ISO|44.184000|7.050000
FR|MON|43.730343|7.424688
FR|OG02|46.154234|6.220211
FR|OGAG|44.787840|6.539745
FR|OGDI|44.109300|6.225300
FR|RSL|45.688207|6.624517
FR|RUSF|43.941200|5.483700
FR|SAOF|43.987200|7.554500
FR|SMPL|42.094500|9.284700
FR|SURF|44.480935|6.811695
G|ECH|48.216313|7.158961
G|SSB|45.279000|4.542000
GE|STU|48.771900|9.195000
GR|BFO|48.330100|8.329600
GR|FUR|48.163900|11.276800
GR|GEC2|48.844303|13.700627
GR|GRA1|49.691888|11.221720
GR|GRA2|49.655208|11.359444
GR|GRA3|49.762204|11.318695
GR|GRA4|49.565403|11.435871
GR|GRB1|49.391348|11.651953
GR|GRB2|49.270925|11.669966
GR|GRB3|49.343542|11.805983
GR|GRB4|49.468937|11.560846
GR|GRB5|49.112131|11.676733
GR|GRC1|48.996168|11.521350
GR|GRC2|48.867567|11.375543
GR|GRC3|48.890174|11.585822
GR|GRC4|49.086746|11.526272
GR|UBR|47.679900|10.107100
GR|WET|49.144800|12.880300
GU|GORR|44.607100|9.292600
GU|PZZ|44.506800|7.116000
GU|SATI|45.875300|7.868500
HU|KOVH|46.088300|18.099900
HU|SOP|47.680700|16.556700
IV|BOB|44.767920|9.447820
IV|BRMO|46.476000|10.373070
IV|CRE|43.618880|11.951670
IV|CTI|46.048180|11.649700
IV|FNVD|44.167820|11.122900
IV|FSSB|43.693090|12.777070
IV|FVI|46.596580|12.780400
IV|LMD|44.077460|11.707267
IV|MABI|46.054920|10.514000
IV|MAGA|45.775300|10.628600
IV|MDI|45.769720|9.716000
IV|MRGE|45.769750|7.061010
IV|MSSA|44.316250|9.517390
IV|MTRZ|44.312800|11.424800
IV|PARC|43.648600|12.238600
IV|PESA|43.941050|12.840180
